,Sim Galaxy Estimates,,,,,,,
Gxy Number,xc,yc,imx,re,q,PA,Qgal,Pagal
0,13,12.6,0.01,1.5,0.8,45,0.2,135
,33.4,21.1,0.009,4.5,0.6,135,,
1,12,10,0.0089,1,0.7,0,0.7,0
2,13,56.6,0.0087,2.5,0.4,60,0.2,45
,50.6,31.5,0.014,9,0.1,0,,
3,30.3,56.7,0.0149,3.5,0.5,120,0.4,30
,39.3,51,0.0181,2.5,0.7,110,,
,24.5,15.4,0.0129,5,0.7,10,,
4,10.5,51.5,0.0202,1.5,0.6,160,0.6,135
,30,30.7,0.015,1.5,0.1,135,,
,23,24,0.058,2,0.9,30,,
,30.5,12.5,0.017,1.5,0.8,0,,
,53,27,0.015,1.5,0.7,40,,
5,19,15,0.011,4,0.7,0,0.7,0
6,15,26,0.017,3,0.5,0,0.8,45
,31,29,0.0226,4,0.7,130,,
,30,19,0.0255,2,0.7,45,,
,21,12,0.0124,1,0.6,135,,
7,41,44.5,0.0124,11,0.8,80,0.8,135
,44,28,0.0108,1.5,0.7,0,,
,40,21,0.0055,1,0.5,90,,
,44.5,16,0.0095,2,0.6,0,,
,26,43,0.0141,1.5,0.8,90,,
,19.5,39.8,0.018,4,0.8,45,,
8,97.5,89,0.019,6,0.8,50,0.3,55
,42,42,0.0222,10,0.9,135,,
,45.7,28.6,0.0145,3,0.3,60,,
,30.3,19,0.0135,3.5,0.8,30,,
9,37,41,0.042,11,0.2,135,0.3,120
,41,47,0.021,2,0.8,90,,
,55,39,0.0188,4.5,0.5,60,,
10,24.5,20,0.0108,5,0.6,80,0.7,100
,32,13.5,0.0101,2,0.2,130,,
11,39,67,0.057,4.5,0.8,10,0.3,40
,18,31,0.0196,4,0.8,55,,
,30,29,0.015,1.5,0.4,90,,
,30.5,11,0.015,1.5,0.5,90,,
12,73.5,45,0.0547,3,0.8,120,0.3,90
,15,50,0.0214,3.5,0.7,30,,
,25.5,38,0.0234,4.5,0.8,80,,
,54.5,30,0.014,2,0.6,130,,
,54.5,14,0.015,2,0.8,45,,
13,15,22,0.00837,3,0.7,45,0.5,105
,27.5,16,0.0037,3,0.7,90,,
14,65,60,0.00094,2.5,0.7,135,0.7,135
15,16,31,0.01358,2.5,0.6,50,0.4,110
,42,30,0.015,1.5,0.5,135,,
,62.5,17,0.03,4.5,0.6,135,,
16,25,11.5,0.0127,1,0.6,90,0.6,90
,10,40,0.0052,1,0.8,90,,
