Im,Blob,Est. Rad (px),Frac. Brightness,xc,yc,q_gal,PA_gal (deg),Surf Bright (raw pix value),FWHM
SDSSJ085621,1,3,1,29,25,0.5,135,0.39219,4.5
SDSSJ222825,1,5,0.48,53,47,0.9,135,0.33508,7.5
,2,5,0.48,56,45,,,0.32023,7
,3,2,0.04,54,31,,,0.05732,8.5
SDSSJ111634,1,1,0.02,18,56,0.4,180,0.053001,5
,2,2,0.05,20,35,,,0.091,5.5
,3,3.5,0.15,31,45,,,0.258,7
,4,2,0.15,33,40,,,0.336,6
,5,3,0.33,33,32,,,0.44153,5
,6,3,0.3,33,30,,,0.42818,5
SDSSJ020121,1,1,0.04,44,63,0.8,135,0.40198,3.5
,2,0.5,0.02,41,58,,,0.37392,2
,3,0.5,0.02,40,52,,,0.367,2
,4,1,0.25,42,49,,,0.842,2
,5,1,0.5,44,48,,,1.5374,2
,6,1.5,0.19,46,44,,,0.71669,3
,7,0.5,0.02,49,39,,,0.39155,1.5
,8,0.5,0.01,53,18,,,0.25951,2
SDSSJ074249,1,2,0.2,33,33,0.8,120,0.37527,3
,2,1,0.05,31,30,,,0.13,4
,3,2,0.5,36,31,,,0.35111,3.5
,4,3,0.15,42,28,,,0.17507,6.5
,5,2,0.1,39,25,,,0.125,4.5
SDSSJ120159,1,0.5,0.01,38,55,0.7,120,0.03989,3.5
,2,2,0.03,45,71,,,0.05811,6.5
,3,1.5,0.02,52,75,,,0.04903,4
,4,2,0.03,51,69,,,0.053,8
,5,5,0.45,75,53,,,0.225,8
,6,2,0.3,75,50,,,0.27242,6
,7,2,0.06,79,45,,,0.13205,8
,8,5,0.11,84,44,,,0.13634,7
SDSSJ002927,1,1,0.02,28,53,0.8,160,0.06169,4.5
,2,1,0.02,31,52,,,0.06681,5.5
,3,1,0.05,31,30,,,0.14897,3
,4,1,0.05,35,30,,,0.21424,4
,5,3,0.5,38,30,,,0.38342,5
,6,2,0.33,42,30,,,0.34799,4.5
,7,1,0.03,47,30,,,0.11834,1
SDSSJ234248,1,1,0.03,23,15,0.7,30,0.06058,3.5
,2,2,0.08,19,18,,,0.121,3
,3,1.5,0.04,22,21,,,0.07277,2.5
,4,2,0.18,30,30,,,0.14992,1
,5,2.5,0.34,28,34,,,0.22008,2
,6,2,0.25,31,37,,,0.15249,2.5
,7,1,0.05,33,47,,,0.07436,2
,8,1,0.03,27,5,,,0.07669,1
SDSSJ011300,1,3,0.2,26,17,0.8,60,0.08324,5
,2,2,0.25,29,17,,,0.09004,5
,3,2,0.25,33,18,,,0.10506,2
,4,2,0.04,46,23,,,0.07164,1.5
,5,3,0.08,45,28,,,0.07639,2
,6,3,0.12,54,33,,,0.07992,3
,7,1,0.04,64,40,,,0.06274,2
,8,4,0.02,74,36,,,0.04578,6
SDSSJ011300,1,3,0.02,24,9,0.5,75,0.01482,7
,2,3,0.15,22,20,,,0.03685,8
,3,3,0.35,26,22,,,0.04916,6
,4,2,0.14,30,23,,,0.047,5.5
,5,3,0.05,43,29,,,0.027,5
,6,3,0.1,52,26,,,0.04241,6
,7,3,0.1,51,27,,,0.04371,6.5
,8,2,0.02,58,24,,,0.02,4.5
,9,3,0.02,49,43,,,0.01047,8
,10,5,0.05,41,57,,,0.0137,9
SDSSJ023740,1,2,0.05,5,4,0.9,45,0.02415,4
,2,4,0.3,17,14,,,0.10776,7
,3,4,0.6,19,15,,,0.12561,6
,4,1,0.05,19,8,,,0.03016,4
SDSSJ111040,1,3,0.07,35,35,0.8,20,0.103,7.5
,2,2,0.03,35,44,,,0.08365,7
,3,3,0.8,36,51,,,0.30506,4.5
,4,3,0.1,38,57,,,0.11827,7
SDSSJ122656,1,2,0.03,41,61,0.9,60,0.04046,6
,2,2.5,0.2,49,47,,,0.129,5
,3,1,0.01,49,43,,,0.106,5
,4,1,0.02,52,44,,,0.09794,4.5
,5,3,0.7,77,58,,,0.18994,4
,6,2,0.02,78,56,,,0.11512,4.5
SDSSJ111027,1,4,0.15,22,26,0.7,45,0.06596,8.5
,2,6,0.85,32,34,,,0.197,6
SDSSJ091859,1,3,0.1,62,53,0.8,60,0.24052,7
,2,1,0.05,61,58,,,0.27868,3
,3,3,0.6,64,58,,,0.54057,4.5
,4,1,0.15,66,58,,,0.46739,4.5
,5,1,0.05,69,60,,,0.31371,2
,6,1,0.01,72,61,,,0.15959,7
,7,2,0.04,83,67,,,0.2375,3.5
SDSSJ075523,1,3,0.25,41,69,0.9,135,0.42247,5.5
,2,5,0.5,42,66,,,0.43102,7
,3,4,0.2,42,62,,,0.37693,8
,4,3,0.05,48,60,,,0.18974,8.5
,5,2,0.05,50,58,,,0.16901,9
SDSSJ114154,1,4,0.75,38,49,1,0,0.59093,6
,2,3,0.2,41,49,,,0.46765,6
,3,2,0.05,43,59,,,0.101,6.5
